프로모션 이름,할인코드,할인율,할인금액,최소 구매 금액,유효기간,적용 조건,제외 조건,적용 대상,출처 URL
클룩 먼데이 오사카 호텔 50% 할인,오사카호텔50퍼센트2602KLK,50%,최대 KRW 20000,미표시,2026년 2월 13일 ~ 2월 16일,선착순 마감 / 전량 수령 한정,예산 소진 시 조기 종료,오사카 호텔,https://www.klook.com/ko/tetris/promo/klookmonday/
클룩 먼데이 오사카 호텔 100% 프리미엄,오사카호텔메대박2602KLK,100%,미표시,미표시,2026년 2월 13일 ~ 2월 16일,선착순 마감 / 전량 수령 한정,예산 소진 시 조기 종료,오사카 호텔,https://www.klook.com/ko/tetris/promo/klookmonday/
일본 겨울 세일 호텔 할인,클룩신규일본호텔NY30,,"KRW 30,000","KRW 500,000",미표시,전량 수령 완료 (소진됨),예산 소진으로 종료,일본 호텔,https://www.klook.com/ko/tetris/promo/lastwintersale_jp25/
KB 국민카드 마카오 공항 픽업/센딩 할인,KBMACAUPTR50,50%,미표시,미표시,2026년 1월 19일 ~ 2026년 3월 31일,KB국민 트래블러스 체크카드 전용,예산 소진 시 조기 종료,마카오 공항 픽업/센딩,https://www.klook.com/ko/tetris/promo/kbmacau26/
KB 국민카드 마카오 호텔 할인,KBMACAUHOTEL30,,"KRW 43,300 (USD $30)","KRW 432,900 (USD $30)",2026년 1월 19일 ~ 2026년 3월 31일,KB국민 트래블러스 체크카드 전용,예산 소진 시 조기 종료,마카오 호텔,https://www.klook.com/ko/tetris/promo/kbmacau26/
KB 국민카드 마카오 액티비티 할인,KBMACAUACT20,,"KRW 28,900 (USD $20)","KRW 144,300 (USD $10)",2026년 1월 19일 ~ 2026년 3월 31일,KB국민 트래블러스 체크카드 전용,예산 소진 시 조기 종료,마카오 액티비티,https://www.klook.com/ko/tetris/promo/kbmacau26/
KB 국민카드 마카오 오픈탑 버스 나이트 투어 할인,KBMACAUOTN20,20%,미표시,미표시,2026년 1월 19일 ~ 2026년 3월 31일,KB국민 트래블러스 체크카드 전용,예산 소진 시 조기 종료,마카오 오픈탑 버스 나이트 투어,https://www.klook.com/ko/tetris/promo/kbmacau26/
네이버페이 상시 적립,없음,0.30%,미표시,미표시,2026년 1월 1일 ~ 상시,네이버페이 머니/포인트 결제 고객 전용 / 구매일로부터 30일 뒤 자동 적립,신용카드와 머니/포인트 복합 결제 불가,전 상품,https://www.klook.com/ko/tetris/promo/naverpay_promo-ao/
네이버페이 일본 호텔 할인,없음,15%,"최대 KRW 58,000",미표시,2026년 1월 1일 ~ 상시,네이버페이 머니/포인트 결제 고객 전용,신용카드와 머니/포인트 복합 결제 불가,일본 호텔 상품,https://www.klook.com/ko/tetris/promo/naverpay_promo-ao/
네이버페이 어트랙션 할인,없음,10%,미표시,미표시,2026년 1월 1일 ~ 상시,네이버페이 머니/포인트 결제 고객 전용,신용카드와 머니/포인트 복합 결제 불가,어트랙션 티켓,https://www.klook.com/ko/tetris/promo/naverpay_promo-ao/
롯데면세점 회원 전용 할인,LPTDFKL007,,미표시,미표시,2026년 12월 31일까지,롯데면세점 회원 전용 / 클룩 계정당 1회만 발급,쿠폰 발급 및 사용 제한,전 상품,https://www.klook.com/ko/tetris/promo/lottedfs_ao/
민다 한인민박 할인 쿠폰,klook2601,5% 즉시할인,"최대 KRW 50,000","KRW 300,000",쿠폰 사용: 2026년 1월 19일 ~ 2월 16일 / 쿠폰 적용: 2026년 1월 19일 ~ 4월 30일,한인민박 상품에만 적용 / 1회 한정 사용,기타 상품 제외,한인민박 상품,https://www.theminda.com/promotions/klookcoupon
